#ies_format_version: 1.0
#file: 20250714_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250714;	130132;	1752478292.000;	       err32
20250714;	130136;	1752478296.000;	       err32
20250714;	130140;	1752478300.000;	       err32
20250714;	130144;	1752478304.000;	       err32
20250714;	130148;	1752478308.000;	       err32
20250714;	130152;	1752478312.000;	       err32
20250714;	130156;	1752478316.000;	       err32
20250714;	130200;	1752478320.000;	       err32
20250714;	130204;	1752478324.000;	       err32
20250714;	130208;	1752478328.000;	       err32
20250714;	130212;	1752478332.000;	       err32
20250714;	130216;	1752478336.000;	       err32
20250714;	130220;	1752478340.000;	       err32
20250714;	130224;	1752478344.000;	       err32
20250714;	130228;	1752478348.000;	       err32
20250714;	130232;	1752478352.000;	       err32
20250714;	130236;	1752478356.000;	       err32
20250714;	130240;	1752478360.000;	       err32
20250714;	130244;	1752478364.000;	       err32
20250714;	130248;	1752478368.000;	       err32
20250714;	130252;	1752478372.000;	       err32
20250714;	130256;	1752478376.000;	       err32
20250714;	130300;	1752478380.000;	       err32
20250714;	130304;	1752478384.000;	       err32
20250714;	130308;	1752478388.000;	       err32
20250714;	130312;	1752478392.000;	       err32
20250714;	130316;	1752478396.000;	       err32
20250714;	130320;	1752478400.000;	       err32
20250714;	130324;	1752478404.000;	       err32
20250714;	130328;	1752478408.000;	       err32
20250714;	130332;	1752478412.000;	       err32
20250714;	130336;	1752478416.000;	       err32
20250714;	130340;	1752478420.000;	       err32
20250714;	130344;	1752478424.000;	       err32
20250714;	130348;	1752478428.000;	       err32
20250714;	130352;	1752478432.000;	       err32
20250714;	130356;	1752478436.000;	       err32
20250714;	130400;	1752478440.000;	       err32
20250714;	130404;	1752478444.000;	       err32
20250714;	130408;	1752478448.000;	       err32
20250714;	130412;	1752478452.000;	       err32
20250714;	130416;	1752478456.000;	       err32
20250714;	130420;	1752478460.000;	       err32
20250714;	130424;	1752478464.000;	       err32
20250714;	130428;	1752478468.000;	       err32
20250714;	130432;	1752478472.000;	       err32
20250714;	130436;	1752478476.000;	       err32
20250714;	130440;	1752478480.000;	       err32
20250714;	130444;	1752478484.000;	       err32
20250714;	130448;	1752478488.000;	       err32
20250714;	130452;	1752478492.000;	       err32
20250714;	130456;	1752478496.000;	       err32
20250714;	130500;	1752478500.000;	       err32
20250714;	130504;	1752478504.000;	       err32
20250714;	130508;	1752478508.000;	       err32
20250714;	130512;	1752478512.000;	       err32
20250714;	130516;	1752478516.000;	       err32
20250714;	130520;	1752478520.000;	       err32
20250714;	130524;	1752478524.000;	       err32
20250714;	130528;	1752478528.000;	       err32
20250714;	130532;	1752478532.000;	       err32
20250714;	130536;	1752478536.000;	       err32
20250714;	130540;	1752478540.000;	       err32
20250714;	130544;	1752478544.000;	       err32
20250714;	130548;	1752478548.000;	       err32
20250714;	130552;	1752478552.000;	       err32
20250714;	130556;	1752478556.000;	       err32
20250714;	130600;	1752478560.000;	       err32
20250714;	130604;	1752478564.000;	       err32
20250714;	130608;	1752478568.000;	       err32
20250714;	130612;	1752478572.000;	       err32
20250714;	130616;	1752478576.000;	       err32
20250714;	130620;	1752478580.000;	       err32
20250714;	130624;	1752478584.000;	       err32
20250714;	130628;	1752478588.000;	       err32
20250714;	130632;	1752478592.000;	       err32
20250714;	130636;	1752478596.000;	       err32
20250714;	130640;	1752478600.000;	       err32
20250714;	130644;	1752478604.000;	       err32
20250714;	130648;	1752478608.000;	       err32
20250714;	130652;	1752478612.000;	       err32
20250714;	130656;	1752478616.000;	       err32
20250714;	130700;	1752478620.000;	       err32
20250714;	130704;	1752478624.000;	       err32
20250714;	130708;	1752478628.000;	       err32
20250714;	130712;	1752478632.000;	       err32
20250714;	130716;	1752478636.000;	       err32
20250714;	130720;	1752478640.000;	       err32
20250714;	130724;	1752478644.000;	       err32
20250714;	130728;	1752478648.000;	       err32
20250714;	130732;	1752478652.000;	       err32
20250714;	130736;	1752478656.000;	       err32
20250714;	130740;	1752478660.000;	       err32
20250714;	130744;	1752478664.000;	       err32
20250714;	130748;	1752478668.000;	       err32
20250714;	130752;	1752478672.000;	       err32
20250714;	130756;	1752478676.000;	       err32
20250714;	130800;	1752478680.000;	       err32
20250714;	130804;	1752478684.000;	       err32
20250714;	130808;	1752478688.000;	       err32
20250714;	130812;	1752478692.000;	       err32
20250714;	130816;	1752478696.000;	       err32
20250714;	130820;	1752478700.000;	       err32
20250714;	130824;	1752478704.000;	       err32
20250714;	130828;	1752478708.000;	       err32
20250714;	130832;	1752478712.000;	       err32
20250714;	130836;	1752478716.000;	       err32
20250714;	130840;	1752478720.000;	       err32
20250714;	130844;	1752478724.000;	           0
20250714;	130848;	1752478728.000;	         102
20250714;	130852;	1752478732.000;	         103
20250714;	130856;	1752478736.000;	        err9
20250714;	130900;	1752478740.000;	       err17
20250714;	130904;	1752478744.000;	       err17
20250714;	130908;	1752478748.000;	       err17
20250714;	130912;	1752478752.000;	       err17
20250714;	130916;	1752478756.000;	       err17
20250714;	130920;	1752478760.000;	       err17
20250714;	130924;	1752478764.000;	       err17
20250714;	130928;	1752478768.000;	       err17
20250714;	130932;	1752478772.000;	       err17
20250714;	130936;	1752478776.000;	       err17
20250714;	130940;	1752478780.000;	       err17
20250714;	130944;	1752478784.000;	       err17
20250714;	130948;	1752478788.000;	       err17
20250714;	130952;	1752478792.000;	       err17
20250714;	130956;	1752478796.000;	        err7
20250714;	131000;	1752478800.000;	         116
20250714;	131004;	1752478804.000;	         117
20250714;	131008;	1752478808.000;	         118
20250714;	131012;	1752478812.000;	         119
20250714;	131016;	1752478816.000;	         119
20250714;	131020;	1752478820.000;	         120
20250714;	131024;	1752478824.000;	         121
20250714;	131028;	1752478828.000;	        err9
